person_id,name,team_id,team,team_abbreviation,position,rank,goalkeeper_saves,goalkeeper_defensive_actions_inside_penalty_area,goalkeeper_defensive_actions_outside_penalty_area
514479,Sander Tangvik,285023_43961,Norway,NOR,GK,57,0,0,0
448151,Mark Flekken,285023_43960,Netherlands,NED,GK,57,0,0,0
448217,Matt Turner,285023_43921,USA,USA,GK,57,0,21,17
318647,Gatito Fernandez,285023_43928,Paraguay,PAR,GK,57,0,0,0
394824,Geronimo Rulli,285023_43922,Argentina,ARG,GK,57,0,0,0
419002,Moises Ramirez,285023_43927,Ecuador,ECU,GK,57,0,0,0
447991,Gaston Olveira,285023_43928,Paraguay,PAR,GK,57,0,0,0
522842,Mladen Jurkas,285023_44037,Bosnia and Herzegovina,BIH,GK,57,0,0,0
466382,Trevor Doornbusch,285023_1895293,Curaçao,CUW,GK,57,0,0,0
466370,Tyrick Bodak,285023_1895293,Curaçao,CUW,GK,57,0,0,0
491228,Martin Zlomislic,285023_44037,Bosnia and Herzegovina,BIH,GK,57,0,0,0
520034,Florian Wiegele,285023_43934,Austria,AUT,GK,57,0,0,0
485080,James Trafford,285023_43942,England,ENG,GK,57,0,0,0
441065,Patrick Pentz,285023_43934,Austria,AUT,GK,57,0,0,0
429639,Alexander Nuebel,285023_43948,Germany,GER,GK,57,0,0,0
483471,Brice Samba,285023_43946,France,FRA,GK,57,0,0,0
306538,Oliver Baumann,285023_43948,Germany,GER,GK,57,0,0,0
464127,Robin Risser,285023_43946,France,FRA,GK,57,0,0,0
506028,Robin Roefs,285023_43960,Netherlands,NED,GK,57,0,0,0
448092,Rui Silva,285023_43963,Portugal,POR,GK,57,0,0,0
215553,Craig Gordon,285023_43967,Scotland,SCO,GK,57,0,0,0
514526,Ivor Pandur,285023_43938,Croatia,CRO,GK,57,0,0,0
419461,Salah Zakaria,285023_43834,Qatar,QAT,GK,57,0,0,0
