person_id,name,team_id,team,team_abbreviation,position,rank,avg_speed,speed_runs,sprints,total_distance
486902,Sebastian Gomez,285023_43926,Colombia,COL,,2106,0.0,0.0,0.0,0.0
489687,Sebastian Nanasi,285023_43970,Sweden,SWE,,2107,0.0,0.0,0.0,0.0
511838,Sebastian Sebulonsen,285023_43961,Norway,NOR,,2108,0.0,0.0,0.0,0.0
278161,Sebastian Soria,285023_43834,Qatar,QAT,,2109,0.0,0.0,0.0,0.0
416720,Sebastian Villa,285023_43926,Colombia,COL,,2111,0.0,0.0,0.0,0.0
336013,Sebastien Haller,285023_43854,Côte d'Ivoire,CIV,,2112,0.0,0.0,0.0,0.0
433381,Seifeddine Jaziri,285023_43888,Tunisia,TUN,,2113,0.0,0.0,0.0,0.0
486075,Semih Kilicsoy,285023_43972,Türkiye,TUR,,2115,0.0,0.0,0.0,0.0
513161,Seo Minwoo,285023_43822,Korea Republic,KOR,,2117,0.0,0.0,0.0,0.0
405559,Sergio Gomez,285023_43969,Spain,ESP,,2120,0.0,0.0,0.0,0.0
387838,Shahab Zahedi,285023_43817,IR Iran,IRN,,2122,0.0,0.0,0.0,0.0
419457,Shehab Mamdouh,285023_43834,Qatar,QAT,,2124,0.0,0.0,0.0,0.0
523192,Shelton Guillaume,285023_43908,Haiti,HAI,,2125,0.0,0.0,0.0,0.0
466350,Sherel Floranus,285023_1895293,Curaçao,CUW,df,2126,5.97,320.0,116.0,29893.73
371156,Sherko Kareem,285023_43818,Iraq,IRQ,,2127,0.0,0.0,0.0,0.0
479075,Sherzod Nasrullaev,285023_44005,Uzbekistan,UZB,df,2129,6.23,232.0,95.0,21551.92
505195,Shin Minha,285023_43822,Korea Republic,KOR,,2130,0.0,0.0,0.0,0.0
346743,Shoja Khalilzadeh,285023_43817,IR Iran,IRN,df,2132,5.59,255.0,78.0,28814.55
423799,Shunsuke Mito,285023_43819,Japan,JPN,,2133,0.0,0.0,0.0,0.0
477832,Sidny Lopes Cabral,285023_43850,Cabo Verde,CPV,df,2136,5.79,257.0,117.0,30954.32
356412,Silvan Widmer,285023_43971,Switzerland,SUI,df,2137,5.55,290.0,97.0,22662.91
522390,Simon Eriksson,285023_43970,Sweden,SWE,,2140,0.0,0.0,0.0,0.0
491256,Simon Olsson,285023_43970,Sweden,SWE,,2141,0.0,0.0,0.0,0.0
448130,Simon Sohm,285023_43971,Switzerland,SUI,,2142,0.0,0.0,0.0,0.0
477809,Sinaly Diomande,285023_43854,Côte d'Ivoire,CIV,,2143,0.0,0.0,0.0,0.0
489694,Sindre Walle Egeli,285023_43961,Norway,NOR,,2144,0.0,0.0,0.0,0.0
419220,Siphesihle Mkhize,285023_43883,South Africa,RSA,,2145,0.0,0.0,0.0,0.0
507121,Slim Bouaskar,285023_43888,Tunisia,TUN,,2147,0.0,0.0,0.0,0.0
402255,Sofiane Boufal,285023_43872,Morocco,MAR,,2148,0.0,0.0,0.0,0.0
419161,Sofiane Diop,285023_43872,Morocco,MAR,,2149,0.0,0.0,0.0,0.0
494325,Sohaib Nair,285023_43843,Algeria,ALG,,2151,0.0,0.0,0.0,0.0
523174,Solomon Agbasi,285023_43860,Ghana,GHA,,2152,0.0,0.0,0.0,0.0
307849,Son Heungmin,285023_43822,Korea Republic,KOR,fw,2153,6.14,169.0,96.0,18757.38
522253,Sondre Brunstad Fet,285023_43961,Norway,NOR,,2154,0.0,0.0,0.0,0.0
522257,Sondre Orjasaeter,285023_43961,Norway,NOR,,2156,0.0,0.0,0.0,0.0
485510,Sota Kawasaki,285023_43819,Japan,JPN,,2159,0.0,0.0,0.0,0.0
448567,Sota Kitano,285023_43819,Japan,JPN,,2160,0.0,0.0,0.0,0.0
496633,Souffian El Karouani,285023_43872,Morocco,MAR,,2161,0.0,0.0,0.0,0.0
523292,Soufiane Benjdida,285023_43872,Morocco,MAR,,2162,0.0,0.0,0.0,0.0
