match_id,team_id,is_home,possession_pct,expected_goals,big_chances,big_chances_missed,shots_total,shots_on_target,shots_off_target,shots_blocked,shots_inside_box,shots_outside_box,hit_woodwork,corners,offsides,fouls,yellow_cards,passes_total,passes_accurate,passes_final_third,long_balls_total,long_balls_accurate,crosses_total,crosses_accurate,tackles,interceptions,clearances,saves,ground_duels_won,ground_duels_total,aerial_duels_won,aerial_duels_total,dribbles_completed,dribbles_total,throw_ins,goal_kicks,free_kicks
7,11,True,54,1.21,1.0,1.0,15,2,9,4,8,7,0,4,3.0,23,1.0,431,367,66,58,26,23,5,12,6,20,1,39,78,13,33,7,17,14,7,21
7,12,False,46,1.05,2.0,2.0,9,2,5,2,8,1,1,3,1.0,21,3.0,373,306,57,58,30,14,5,12,6,17,2,39,78,20,33,5,13,23,13,23
19,37,True,48,1.23,2.0,1.0,10,6,4,1,4,6,0,2,3.0,13,,563,504,40,32,17,5,1,25,12,15,0,33,68,3,8,1,7,12,6,8
19,38,False,52,0.31,0.0,0.0,7,0,4,3,3,4,0,2,1.0,8,,608,559,64,24,14,8,1,16,8,11,3,35,68,5,8,6,23,19,4,13
4,13,True,65,1.35,4.0,2.0,16,6,6,4,13,3,0,3,2.0,13,1.0,596,508,77,50,28,17,3,7,11,17,1,43,83,17,31,20,34,23,3,17
4,14,False,35,0.47,1.0,0.0,9,1,3,5,4,5,0,1,1.0,17,5.0,320,230,35,58,18,5,1,22,9,33,3,40,83,14,31,6,8,17,7,13
8,15,True,28,0.77,1.0,0.0,9,4,4,1,6,3,0,5,1.0,12,0.0,270,202,43,57,17,14,4,16,6,55,8,26,54,14,32,6,9,13,17,4
8,16,False,72,1.33,2.0,2.0,30,8,10,12,14,16,1,8,3.0,4,1.0,705,636,86,29,20,26,2,12,4,29,2,28,54,18,32,4,15,24,6,12
9,17,True,65,4.22,6.0,2.0,26,12,6,8,21,5,1,8,0.0,18,,635,551,80,25,12,12,5,19,10,8,1,37,82,9,14,8,17,17,7,10
9,18,False,35,0.41,0.0,0.0,8,2,6,0,4,4,0,1,1.0,11,,342,281,37,44,17,7,2,16,16,25,4,45,82,5,14,12,21,9,11,18
11,19,True,48,1.68,2.0,2.0,15,4,8,3,8,7,1,3,,10,3.0,470,395,34,42,19,7,2,15,11,27,1,40,73,17,28,12,19,14,10,13
11,20,False,52,1.03,1.0,1.0,12,1,8,3,5,7,3,5,,13,1.0,494,420,59,39,12,14,4,21,13,19,3,33,73,11,28,3,10,14,11,10
10,21,True,60,0.74,,,10,6,3,1,10,0,0,5,1.0,7,3.0,524,464,79,35,16,21,8,11,7,23,1,24,45,20,28,7,14,21,9,7
10,22,False,40,0.54,,,10,3,6,1,6,4,0,4,0.0,7,0.0,342,287,49,37,13,23,6,11,4,33,4,21,45,8,28,3,9,19,7,7
12,23,True,49,1.36,4.0,2.0,13,7,3,3,9,4,0,4,3.0,10,0.0,353,280,47,57,22,12,3,14,8,23,1,26,61,16,27,5,14,18,6,8
12,24,False,51,0.28,0.0,0.0,6,2,3,1,2,4,0,2,6.0,8,1.0,363,287,62,53,23,13,3,21,6,15,1,35,61,11,28,6,15,17,10,10
28,1,True,42,0.48,2.0,1.0,8,4,3,1,5,3,0,0,3.0,9,0.0,429,350,44,59,17,5,3,14,6,18,2,26,59,13,25,5,10,17,5,7
28,3,False,58,0.69,3.0,3.0,9,2,4,3,6,3,0,2,6.0,7,2.0,579,486,72,70,25,9,5,18,5,10,3,32,58,12,25,6,13,25,5,9
38,25,True,70,1.82,1.0,1.0,23,7,10,6,20,3,0,4,3.0,7,1.0,622,534,79,35,12,32,6,11,3,11,3,32,59,18,36,13,21,26,4,9
38,27,False,30,0.63,0.0,0.0,7,3,3,1,6,1,0,2,4.0,9,1.0,268,198,43,49,18,8,2,20,13,50,7,27,59,18,36,2,5,8,12,7
41,37,True,54,2.62,3.0,3.0,12,5,4,3,10,2,0,1,2.0,13,2.0,553,493,40,28,13,4,1,21,8,35,1,39,68,10,26,6,11,12,6,12
41,39,False,46,0.5,1.0,1.0,6,1,5,0,4,2,0,3,0.0,13,2.0,467,400,56,22,12,17,3,12,9,15,2,29,68,16,26,5,14,20,4,13
47,48,True,42,0.54,1.0,1.0,8,1,5,2,6,2,0,7,1.0,19,1.0,356,277,57,57,25,30,6,10,5,28,1,32,77,25,39,11,18,14,6,12
47,46,False,58,1.63,3.0,2.0,6,2,3,1,4,2,0,2,2.0,12,1.0,515,433,59,51,18,17,4,17,5,36,1,45,77,14,39,10,10,14,8,19
46,45,True,79,1.28,2.0,2.0,19,3,10,6,14,5,1,9,2.0,14,1.0,633,586,88,27,14,30,7,14,1,6,0,42,80,17,25,6,16,22,1,24
46,47,False,21,0.29,1.0,1.0,2,1,0,1,2,0,0,2,2.0,24,1.0,173,128,40,57,24,5,0,22,8,39,3,38,80,8,25,3,9,9,12,14
48,42,True,64,1.03,2.0,2.0,20,9,5,6,11,9,1,5,7.0,12,2.0,540,473,63,66,40,12,3,10,10,19,1,26,51,18,26,2,8,13,11,16
48,44,False,36,0.39,0.0,0.0,8,1,5,2,4,4,0,4,0.0,16,1.0,298,224,38,49,14,14,4,14,7,19,8,25,51,9,27,1,2,20,11,12
25,4,True,38,1.02,3.0,2.0,14,3,8,3,11,3,0,5,2.0,12,1.0,340,271,39,45,22,16,7,12,9,23,3,31,67,13,22,9,13,16,8,10
25,2,False,62,1.35,1.0,0.0,17,4,5,8,6,11,0,5,3.0,10,2.0,563,508,58,57,30,17,4,21,9,23,2,36,67,9,22,5,10,15,10,11
44,40,True,28,0.65,1.0,1.0,8,4,4,0,4,4,0,1,1.0,11,1.0,251,180,37,53,22,5,2,31,2,37,6,42,90,17,33,6,22,28,7,6
44,38,False,72,1.81,3.0,2.0,17,8,4,5,11,6,0,10,0.0,6,1.0,638,559,88,44,19,21,5,25,10,15,3,48,90,17,34,13,31,23,6,11
42,33,True,56,2.38,6.0,4.0,19,5,10,4,12,7,1,4,1.0,8,0.0,602,539,89,30,16,14,2,14,5,9,0,28,60,9,17,10,20,17,4,4
42,35,False,44,0.6,1.0,1.0,4,0,3,1,3,1,0,2,0.0,4,1.0,483,414,31,51,21,9,4,18,11,26,2,32,60,8,17,6,11,15,14,8
43,36,True,42,2.1,5.0,3.0,13,7,3,3,11,2,1,5,0.0,13,,353,282,45,51,25,10,3,11,8,26,2,19,59,20,37,5,9,16,10,5
